link,title,ratings,reviews,prices
,,,,
,,,,
./filpkat2_files/-original-imagpxgrxrqsmdqz.jpeg,ASUS Vivobook Go 15 (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ3...,4.2,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹38,990"
./filpkat2_files/-original-imagwzwcffaghbpy.jpeg,HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Lapto...,4.3,"AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office 2021 Home & Student, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty","₹47,690"
./filpkat2_files/15amn7-thin-and-light-laptop-lenovo-original-imagsvykgkecffgr.jpeg,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and Light ...,4.2,AMD Athlon Dual Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty,"₹28,990"
./filpkat2_files/14igl7-thin-and-light-laptop-lenovo-original-imagqtsdgfwcwgbz.jpeg,Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin an...,4,Intel Celeron Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Onsite�Warranty�+ 1 Yr ADP,"₹23,990"
./filpkat2_files/15amn7-thin-and-light-laptop-lenovo-original-imagz3rwynfugcnz.jpeg,Lenovo IdeaPad Slim 1 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,4,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,"₹29,990"
./filpkat2_files/-original-imagrjfhefuhkppa.jpeg,Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G4 Thin and Ligh...,4.1,Intel Core i7 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Premium Support,"₹52,990"
./filpkat2_files/15iax9i-gaming-laptop-lenovo-original-imagwuaggdxs5ny8.jpeg,Lenovo LOQ Intel Core i5 12th Gen 12450HX - (8 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/Intel Integr...,,Intel Core i5 Processor (12th Gen)8 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹59,990"
./filpkat2_files/-original-imaguyhzwj4tqwqu.jpeg,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and...,4.1,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 20211 Year Carry-in Warranty,"₹30,990"
